Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.6126714	1.17879796	2.476125479	104142.75
0.61269455	1.170302391	2.479710579	104142.75
0.612717681	1.159845948	2.48412776	104142.75
0.612740763	1.102743387	2.508341074	104142.75
0.612763914	1.109475017	2.505478621	104142.75
0.612787147	1.167845607	2.480747938	104142.75
0.612810278	1.184215307	2.47384119	104142.75
0.61283344	1.162953854	2.482814312	104142.75
0.612856516	1.153256178	2.486914158	104142.75
0.612879646	1.121315599	2.500448942	104142.75
0.612902903	1.140938282	2.492128134	104142.75
0.612926051	1.16411233	2.482324839	104142.75
0.612949094	1.159229994	2.484388113	104142.75
0.612972342	1.145502687	2.490195274	104142.75
0.612995482	1.116555333	2.502470255	104142.75
0.613018616	1.116336942	2.502563	104142.75
0.613041765	1.151537776	2.487641096	104142.75
0.613064911	1.148919463	2.488749027	104142.75
0.613088094	1.102842689	2.508298874	104142.75
0.613111128	1.0398978	2.535168409	104142.75
0.613134307	1.082220912	2.517081022	104142.75
0.613157445	1.080827475	2.517675161	104142.75
0.613180594	1.08531487	2.515762091	104142.75
0.61320375	1.123682141	2.499444485	104142.75
0.613226888	1.206125975	2.464616299	104142.75
0.613250128	1.195210934	2.469208956	104142.75
0.613273257	1.192927361	2.470170498	104142.75
0.613296413	1.204744339	2.465197325	104142.75
0.613319573	1.198299408	2.467908859	104142.75
0.613342721	1.187917829	2.472280741	104142.75
0.613365761	1.166816473	2.481182575	104142.75
0.613388908	1.15350306	2.486809731	104142.75
0.613412155	1.14152658	2.491878986	104142.75
0.613435205	1.145957112	2.490002871	104142.75
0.613458474	1.138638735	2.493102312	104142.75
0.613481546	1.123731017	2.499423742	104142.75
0.613504708	1.12152791	2.50035882	104142.75
0.613527866	1.104293227	2.507681847	104142.75
0.613550997	1.096402168	2.511039496	104142.75
0.613574128	1.105688691	2.507088423	104142.75
0.613597314	1.093599916	2.512232542	104142.75
0.613620459	1.09264648	2.512638569	104142.75
0.613643613	1.079653978	2.518175602	104142.75
0.613666784	1.092609525	2.512654305	104142.75
0.613689932	1.068135142	2.523091316	104142.75
0.61371306	1.049532175	2.53104353	104142.75
0.613736209	1.040733337	2.534810543	104142.75
0.613759349	1.039159298	2.535484791	104142.75
0.613782428	1.036408305	2.536663532	104142.75
0.613805674	1.032314539	2.538418293	104142.75
0.613828737	1.040311933	2.534991026	104142.75
0.613851886	1.024047494	2.541964293	104142.75
0.613875035	1.015933037	2.545448065	104142.75
0.613898195	1.015448451	2.545656204	104142.75
0.61392135	1.009528518	2.548199892	104142.75
0.61394452	0.971309066	2.564662695	104142.75
0.613967674	0.946360946	2.575446844	104142.75
0.613990827	0.955071032	2.5716784	104142.75
0.614013974	0.967936635	2.566118717	104142.75
0.614037106	0.962822735	2.568327665	104142.75
0.614060295	0.967097998	2.566480875	104142.75
0.614083444	0.958848953	2.570044994	104142.75
0.614106598	0.947790921	2.57482791	104142.75
0.614129744	0.922326863	2.585864306	104142.75
0.614152899	0.87499249	2.606462956	104142.75
0.614176047	0.8772282	2.605487585	104142.75
0.614199194	0.866651833	2.610103846	104142.75
0.61422234	0.871536434	2.607971191	104142.75
0.61424547	0.862796843	2.611787796	104142.75
0.614268628	0.867217422	2.609856844	104142.75
0.614291783	0.853942037	2.615658522	104142.75
0.614314914	0.839788616	2.621853352	104142.75
0.614338078	0.803258181	2.637887716	104142.75
0.614361227	0.797867239	2.640259504	104142.75
0.614384357	0.748999298	2.661824465	104142.75
0.614407526	0.748148024	2.662201166	104142.75
0.614430679	0.738710225	2.666379929	104142.75
0.61445383	0.728405535	2.670947552	104142.75
0.61447697	0.735859931	2.667642832	104142.75
0.614500123	0.73217845	2.669274569	104142.75
0.614523172	0.735993326	2.667583704	104142.75
0.614546325	0.732875466	2.668965578	104142.75
0.614569466	0.726716638	2.671696663	104142.75
0.61459266	0.721903324	2.673832417	104142.75
0.614615808	0.72385025	2.672968388	104142.75
0.614638917	0.687855899	2.688972473	104142.75
0.61466208	0.675699234	2.694392204	104142.75
0.614685224	0.689976931	2.68802762	104142.75
0.614708438	0.658482254	2.702080488	104142.75
0.614731589	0.643508971	2.708778858	104142.75
0.614754695	0.631687701	2.714075089	104142.75
0.614777855	0.642272592	2.709332466	104142.75
0.61480099	0.606413603	2.725421906	104142.75
0.614824202	0.614787936	2.721658707	104142.75
0.614847355	0.587377667	2.733989239	104142.75
0.614870454	0.592359781	2.731745243	104142.75
0.614893617	0.563908875	2.744576693	104142.75
0.614916754	0.524958909	2.762209415	104142.75
0.614939957	0.510988951	2.768552303	104142.75
0.614963124	0.522887051	2.7631495	104142.75
0.614986228	0.473469287	2.785636663	104142.75
0.615009377	0.45616433	2.793540478	104142.75
0.615032536	0.464746594	2.789618731	104142.75
0.6150556	0.444256455	2.798988104	104142.75
0.615078732	0.406970203	2.81609273	104142.75
0.615101878	0.416961819	2.811502218	104142.75
0.615125033	0.427248389	2.80678153	104142.75
0.615148292	0.418285936	2.810894251	104142.75
0.615171394	0.387289375	2.825149775	104142.75
0.615194522	0.424409062	2.808084011	104142.75
0.615217628	0.41538766	2.812225103	104142.75
0.615240779	0.379359961	2.828804493	104142.75
0.615263929	0.366321057	2.834821224	104142.75
0.615287138	0.348165035	2.843213797	104142.75
0.615310296	0.351115376	2.84184885	104142.75
0.615333365	0.369689524	2.83326602	104142.75
0.615356619	0.383020937	2.827116728	104142.75
0.615379779	0.337424189	2.848186731	104142.75
0.615402901	0.326950103	2.853041887	104142.75
0.61542607	0.34979856	2.84245801	104142.75
0.615449101	0.321801931	2.855430365	104142.75
0.615472262	0.315487623	2.858361721	104142.75
0.615495509	0.321944237	2.855364323	104142.75
0.615518657	0.294984371	2.867894411	104142.75
0.615541694	0.298774004	2.866130829	104142.75
0.615564861	0.284513652	2.872771025	104142.75
0.615588115	0.282639802	2.873644352	104142.75
0.615611165	0.27123937	2.878961563	104142.75
0.615634387	0.238549843	2.894245625	104142.75
0.61565752	0.234309331	2.896232367	104142.75
0.615680669	0.210628808	2.907344341	104142.75
0.615703826	0.164048091	2.929287911	104142.75
0.615726956	0.186442316	2.91872406	104142.75
0.615750115	0.207284525	2.908915997	104142.75
0.615773283	0.170816869	2.926092148	104142.75
0.615796432	0.165103167	2.928789616	104142.75
0.615819574	0.188024879	2.917978525	104142.75
0.615842716	0.205266982	2.909864426	104142.75
0.615865792	0.16310367	2.929733992	104142.75
0.615888954	0.13859883	2.941324949	104142.75
0.61591215	0.093800493	2.962596893	104142.75
0.615935297	0.115646757	2.952210188	104142.75
0.615958456	0.113830939	2.953072548	104142.75
0.615981529	0.095257595	2.961903334	104142.75
0.616004667	0.109337397	2.955207348	104142.75
0.616027828	0.143347278	2.939076424	104142.75
0.616050969	0.147161052	2.937271357	104142.75
0.616074114	0.10043224	2.959441185	104142.75
0.616097281	0.094573341	2.962229013	104142.75
0.616120423	0.095127352	2.961965323	104142.75
0.616143588	0.081422426	2.968493223	104142.75
0.616166739	0.089328483	2.96472621	104142.75
0.616189889	0.102030285	2.958681107	104142.75
0.61621309	0.108478487	2.955615521	104142.75
0.616236238	0.10475985	2.957383156	104142.75
0.616259303	0.095807135	2.961641789	104142.75
0.616282458	0.044924866	2.98592639	104142.75
0.616305605	0.064036615	2.976788759	104142.75
0.616328748	0.067149639	2.975302219	104142.75
0.616351887	0.034911033	2.990721941	104142.75
0.616375117	0.047314227	2.984782934	104142.75
