Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.633065046	1.436170101	4.061760902	104142.75
0.633088183	1.450242639	4.015868187	104142.75
0.633111346	1.444581628	4.034301758	104142.75
0.633134498	1.442412615	4.041374207	104142.75
0.633157632	1.445538402	4.03118372	104142.75
0.633180782	1.464655995	3.969106436	104142.75
0.633203938	1.462547064	3.975933313	104142.75
0.63322708	1.457402945	3.992607355	104142.75
0.633250236	1.443356156	4.038297176	104142.75
0.633273378	1.461515069	3.979275942	104142.75
0.633296514	1.451577187	4.011528492	104142.75
0.633319676	1.469902873	3.952144146	104142.75
0.63334282	1.4659307	3.96498251	104142.75
0.633365969	1.462627411	3.975673199	104142.75
0.633389142	1.479810476	3.92020154	104142.75
0.633412282	1.477150202	3.928767204	104142.75
0.633435421	1.474658489	3.936797619	104142.75
0.633458581	1.457045794	3.993766308	104142.75
0.633481714	1.467708945	3.959232807	104142.75
0.633504884	1.47694087	3.929441452	104142.75
0.633528024	1.475276113	3.934806347	104142.75
0.633551157	1.488187552	3.893281698	104142.75
0.633574318	1.497175574	3.864488363	104142.75
0.633597464	1.482524633	3.911470652	104142.75
0.633620524	1.472382665	3.944138289	104142.75
0.633643664	1.473996639	3.938931704	104142.75
0.63366692	1.477143407	3.928789139	104142.75
0.633689966	1.470426917	3.950451613	104142.75
0.633713103	1.480226755	3.918861866	104142.75
0.633736289	1.478641987	3.923962832	104142.75
0.633759418	1.485940456	3.900494814	104142.75
0.633782566	1.472418308	3.944023371	104142.75
0.633805695	1.469485879	3.953490973	104142.75
0.633828953	1.48982513	3.88802886	104142.75
0.633851974	1.498182297	3.861269236	104142.75
0.633875243	1.482814193	3.910539866	104142.75
0.633898402	1.487696409	3.894857884	104142.75
0.633921456	1.490561009	3.88566947	104142.75
0.633944603	1.503661156	3.843769074	104142.75
0.633967816	1.495675564	3.869287252	104142.75
0.633990945	1.480035305	3.91947794	104142.75
0.634014103	1.483044386	3.909799814	104142.75
0.634037267	1.500003457	3.855448246	104142.75
0.634060419	1.499086618	3.858378172	104142.75
0.634083561	1.490905404	3.884565353	104142.75
0.634106709	1.50708127	3.8328619	104142.75
0.634129865	1.486131668	3.899880886	104142.75
0.634152993	1.503309846	3.844890118	104142.75
0.63417613	1.492452741	3.879606724	104142.75
0.634199279	1.50179553	3.849724293	104142.75
0.634222438	1.494383097	3.873424292	104142.75
0.634245585	1.502831936	3.84641552	104142.75
0.634268724	1.502515912	3.847424269	104142.75
0.634291993	1.520791292	3.789272547	104142.75
0.634315031	1.52276051	3.783028841	104142.75
0.634338178	1.515607953	3.805727482	104142.75
0.634361321	1.518301129	3.797173977	104142.75
0.63438443	1.51862061	3.796159744	104142.75
0.634407579	1.527360439	3.768461466	104142.75
0.634430763	1.530942082	3.757134914	104142.75
0.634453899	1.523003817	3.782257795	104142.75
0.634477045	1.525806427	3.773380041	104142.75
0.63450022	1.519744992	3.792591572	104142.75
0.634523356	1.524230361	3.778371334	104142.75
0.634546535	1.520290494	3.790860891	104142.75
0.634569668	1.523380637	3.781063557	104142.75
0.634592818	1.517335177	3.800240755	104142.75
0.634615976	1.519788981	3.792452097	104142.75
0.634639132	1.509285212	3.825840473	104142.75
0.6346622	1.529383063	3.762063503	104142.75
0.63468536	1.548514605	3.701771021	104142.75
0.634708506	1.547739625	3.704205513	104142.75
0.634731711	1.547501326	3.704954147	104142.75
0.634754862	1.539364815	3.730555773	104142.75
0.634777954	1.535349727	3.743216276	104142.75
0.634801084	1.547262669	3.705704212	104142.75
0.634824234	1.536497951	3.739593744	104142.75
0.634847453	1.538643122	3.732830048	104142.75
0.634870599	1.539346695	3.730612755	104142.75
0.634893721	1.552683711	3.688685894	104142.75
0.634916862	1.532059431	3.753604412	104142.75
0.634940003	1.550753713	3.694741011	104142.75
0.634963172	1.544785738	3.713490725	104142.75
0.634986326	1.538514495	3.733235598	104142.75
0.635009521	1.551718473	3.69171381	104142.75
0.635032642	1.551037431	3.693850756	104142.75
0.635055804	1.551520467	3.69233489	104142.75
0.635078941	1.554220915	3.683866024	104142.75
0.635102103	1.556654573	3.676240683	104142.75
0.635125168	1.548568845	3.70160079	104142.75
0.635148307	1.549463511	3.698791266	104142.75
0.63517145	1.547459245	3.70508647	104142.75
0.63519468	1.542652011	3.720203877	104142.75
0.635217829	1.544309259	3.714989424	104142.75
0.635240943	1.544133902	3.715540886	104142.75
0.63526409	1.538697362	3.732659102	104142.75
0.63528722	1.54564321	3.710794449	104142.75
0.635310424	1.546244741	3.708903313	104142.75
0.635333565	1.547427297	3.705186844	104142.75
0.635356709	1.53720665	3.73735857	104142.75
0.635379873	1.516870856	3.801715374	104142.75
0.635403011	1.519123077	3.794564962	104142.75
0.635426162	1.542119265	3.721880674	104142.75
0.635449302	1.551210165	3.693308592	104142.75
0.635472439	1.560947418	3.662805796	104142.75
0.635495582	1.550705433	3.694892645	104142.75
0.635518745	1.551748276	3.691620112	104142.75
0.635541835	1.551499963	3.692399263	104142.75
0.635564985	1.5370152	3.737962484	104142.75
0.635588226	1.544185758	3.715377808	104142.75
0.635611361	1.545376897	3.711631775	104142.75
0.635634516	1.54361701	3.717167139	104142.75
0.635657645	1.547816396	3.703964472	104142.75
0.635680814	1.549693227	3.698070049	104142.75
0.635703946	1.561309934	3.661672115	104142.75
0.635727093	1.551578641	3.6921525	104142.75
0.635750246	1.568582535	3.638960362	104142.75
0.635773332	1.548169613	3.702854633	104142.75
0.635796495	1.557156801	3.674667835	104142.75
0.63581968	1.565527558	3.648493767	104142.75
0.635842842	1.562377453	3.658334732	104142.75
0.635865973	1.552562952	3.689064741	104142.75
0.635889058	1.550800324	3.69459486	104142.75
0.635912214	1.563042283	3.656256914	104142.75
0.635935455	1.557806253	3.672634363	104142.75
0.635958609	1.575944901	3.61602664	104142.75
0.635981636	1.569202304	3.637027502	104142.75
0.636004894	1.559761167	3.666516304	104142.75
0.636028032	1.572089434	3.628029108	104142.75
0.636051186	1.585219145	3.587220669	104142.75
0.636074329	1.562865615	3.656809092	104142.75
