Day fraction since midnight on 	photom conc (mg/L)	photom (volts)	Source pressure (Pa)
0.632023351	4.437722683	1.323556304	104142.75
0.632046499	4.404164314	1.333417416	104142.75
0.632069625	4.388503552	1.338032007	104142.75
0.632092768	4.354579926	1.348055601	104142.75
0.632115925	4.352838516	1.348571181	104142.75
0.632139061	4.376824379	1.341478705	104142.75
0.632162213	4.397917271	1.335257173	104142.75
0.632185385	4.379409313	1.340715408	104142.75
0.632208535	4.417692184	1.329437852	104142.75
0.63223172	4.377726078	1.341212392	104142.75
0.632254862	4.386413097	1.338648558	104142.75
0.632278001	4.366737843	1.344458818	104142.75
0.632301155	4.350817204	1.349169731	104142.75
0.632324296	4.284103394	1.36900115	104142.75
0.632347418	4.273905277	1.372045755	104142.75
0.632370563	4.303126812	1.363331199	104142.75
0.632393715	4.313141823	1.360351086	104142.75
0.632416878	4.316868782	1.359242916	104142.75
0.632440019	4.293842793	1.366096854	104142.75
0.632463109	4.35777235	1.347110748	104142.75
0.632486255	4.27515316	1.371672988	104142.75
0.632509417	4.287703514	1.367927194	104142.75
0.632532612	4.195473671	1.395576596	104142.75
0.632555774	4.227834702	1.385842681	104142.75
0.632578936	4.207681656	1.39190042	104142.75
0.632602073	4.208416939	1.391679168	104142.75
0.632625235	4.214360714	1.389891267	104142.75
0.632648339	4.162315369	1.40558672	104142.75
0.632671489	4.162061214	1.40566349	104142.75
0.632694648	4.217146397	1.389053702	104142.75
0.632717786	4.200307846	1.394120216	104142.75
0.632740948	4.244290352	1.380906582	104142.75
0.632764081	4.22470665	1.38678205	104142.75
0.632787237	4.214848995	1.38974452	104142.75
0.632810409	4.201272488	1.393829823	104142.75
0.632833541	4.187145233	1.398087263	104142.75
0.6328567	4.146257877	1.410447598	104142.75
0.632879875	4.133605003	1.414283991	104142.75
0.632903021	4.145682335	1.410622001	104142.75
0.632926077	4.12292099	1.417527556	104142.75
0.63294924	4.111324787	1.421052575	104142.75
0.632972387	4.088703632	1.427941918	104142.75
0.632995543	4.04309082	1.441886544	104142.75
0.6330187	4.039326191	1.44304049	104142.75
0.633041896	4.076077938	1.431794763	104142.75
0.633065046	4.061760902	1.436170101	104142.75
0.633088183	4.015868187	1.450242639	104142.75
0.633111346	4.034301758	1.444581628	104142.75
0.633134498	4.041374207	1.442412615	104142.75
0.633157632	4.03118372	1.445538402	104142.75
0.633180782	3.969106436	1.464655995	104142.75
0.633203938	3.975933313	1.462547064	104142.75
0.63322708	3.992607355	1.457402945	104142.75
0.633250236	4.038297176	1.443356156	104142.75
0.633273378	3.979275942	1.461515069	104142.75
0.633296514	4.011528492	1.451577187	104142.75
0.633319676	3.952144146	1.469902873	104142.75
0.63334282	3.96498251	1.4659307	104142.75
0.633365969	3.975673199	1.462627411	104142.75
0.633389142	3.92020154	1.479810476	104142.75
0.633412282	3.928767204	1.477150202	104142.75
0.633435421	3.936797619	1.474658489	104142.75
0.633458581	3.993766308	1.457045794	104142.75
0.633481714	3.959232807	1.467708945	104142.75
0.633504884	3.929441452	1.47694087	104142.75
0.633528024	3.934806347	1.475276113	104142.75
0.633551157	3.893281698	1.488187552	104142.75
0.633574318	3.864488363	1.497175574	104142.75
0.633597464	3.911470652	1.482524633	104142.75
0.633620524	3.944138289	1.472382665	104142.75
0.633643664	3.938931704	1.473996639	104142.75
0.63366692	3.928789139	1.477143407	104142.75
