Day fraction since midnight on ,photom conc (mg/L),photom (volts),Source pressure (Pa)
0.593643527,0.264951348,2.881897211,104142.75
0.593666675,0.214374855,2.905584574,104142.75
0.59368982,0.181312904,2.921141386,104142.75
0.593712983,0.15654397,2.932833672,104142.75
0.593736139,0.148771986,2.936509132,104142.75
0.593759285,0.072589397,2.972705841,104142.75
0.593782451,0.019591313,2.99806881,104142.75
0.593805597,0.022795277,2.996531248,104142.75
0.593828727,-0.014729872,3.014573813,104142.75
0.593851888,-0.036415797,3.025035143,104142.75
0.593875002,-0.060470451,3.036668778,104142.75
0.593898149,-0.091057368,3.051506758,104142.75
0.59392126,-0.131697893,3.071300268,104142.75
0.593944397,-0.198058084,3.103813648,104142.75
0.59396755,-0.285167456,3.146859884,104142.75
0.593990768,-0.322780937,3.165576696,104142.75
0.594013897,-0.326725572,3.167544127,104142.75
0.59403705,-0.348863453,3.178601742,104142.75
0.594060192,-0.352378696,3.180360079,104142.75
0.594083342,-0.343246222,3.175793409,104142.75
0.594106421,-0.298195064,3.153333664,104142.75
0.594129665,-0.273571909,3.141105652,104142.75
0.594152796,-0.303639829,3.156042099,104142.75
0.594175949,-0.364641488,3.186499357,104142.75
0.594199099,-0.438287824,3.223546982,104142.75
0.594222257,-0.518915296,3.264456749,104142.75
0.594245402,-0.547262609,3.278927565,104142.75
0.59426475,-0.576210916,3.293752432,104142.75
0.594291623,-0.614541411,3.31345582,104142.75
0.594314769,-0.613762438,3.313054562,104142.75
0.594338007,-0.604645371,3.308360815,104142.75
0.594361138,-0.616160691,3.314290047,104142.75
0.594384283,-0.618737757,3.315618038,104142.75
0.594407429,-0.645090759,3.329219818,104142.75
0.594430597,-0.668949962,3.341568947,104142.75
0.594453735,-0.663945317,3.338975906,104142.75
0.594476877,-0.713829339,3.364886999,104142.75
0.594499994,-0.771279037,3.394906998,104142.75
0.594523126,-0.796745241,3.408275843,104142.75
0.594546281,-0.785823345,3.402537584,104142.75
0.594569454,-0.775068581,3.396893978,104142.75
0.59459261,-0.793592274,3.406618595,104142.75
0.594615701,-0.810264885,3.415388584,104142.75
0.594638829,-0.825219035,3.423268557,104142.75
